city,country,facility_name,lat,lng
Moscow,Russia,Sabor de la Vida,55.7679679,37.558749
Moscow,Russia,Любовь Пирогова,55.712178,37.620643
Nizhny Novgorod,Russia,Союз-rest,56.2422779,43.8601695
Nizhny Novgorod,Russia,Джани ресторани,56.326469,44.0119794
Ufa,Russia,Rossinsky,54.71896,55.9491046
Ufa,Russia,Del Mare,54.731836,55.947714
Saint-Petersburg,Russia,Dans Le Noir,59.9448238,30.2938052
Saint-Petersburg,Russia,Percorso,59.935263,30.308096
Krasnodar,Russia,Балкан-Гриль,56.3284825,44.0083471
Krasnodar,Russia,Кафе Винсент,45.020957,38.9700078
Yaroslavl,Russia,Сказка. Еда и вино,57.6253632,39.8749721 
Yaroslavl,Russia,Брюгге,57.6230007,39.8818897
Vladivostok,Russia,Супра Меоре,43.101581,131.9051689
Vladivostok,Russia,TOKYO Kawaii на Семёновской,43.119274,131.882176
Kazan,Russia,Кремлин,55.7937397,49.1099983
Kazan,Russia,Ресторан Бурбон,55.7927669,49.1172491
Ekaterinburg,Russia,Паштет,56.8405019,60.6082934
Ekaterinburg,Russia,Троекуровъ,56.841769,60.6620667
Volgograd,Russia,Маруся,48.704534,44.5190293
Volgograd,Russia,Княгининский Двор,48.6948735,44.4986003
Novosibirsk,Russia,Puppen Haus,55.0261368,82.9205541
Novosibirsk,Russia,#СИБИРЬСИБИРЬ,55.0295233,82.9049737
